TeamNumber,GameNumber,GStatNumber,GameDate,GameType,Location,Innings,HomeTeam,Opponent,OpponentTeamNumber,OpponentGStatNumber,DP,Runs,RunsInning1,RunsInning2,RunsInning3,RunsInning4,RunsInning5,RunsInning6,RunsInning7,RunsInning8,RunsInning9,RunsInningX,OppRuns,OppRunsInning1,OppRunsInning2,OppRunsInning3,OppRunsInning4,OppRunsInning5,OppRunsInning6,OppRunsInning7,OppRunsInning8,OppRunsInning9,OppRunsInningX,Notes
39,18,193,"03/18/11 00:00:00",1,"Buffalo Glen",7,1,"Mighty Ducks W11",36,0,0,11,1,3,3,0,1,0,3,0,0,0,22,2,5,5,2,5,3,0,0,0,0,
39,19,207,"03/23/11 00:00:00",1,"Buffalo Glen",7,1,"Wings W11",44,0,0,6,5,0,0,0,0,0,1,0,0,0,13,1,3,5,0,1,3,0,0,0,0,
39,20,217,"03/30/11 00:00:00",1,"Buffalo Glen",7,1,"Canucks W11",40,0,0,18,0,1,5,5,3,4,0,0,0,0,16,1,0,5,0,5,0,5,0,0,0,
40,1,3,"01/05/11 00:00:00",1,"Buffalo Glen",7,0,"Mighty Ducks W11",36,0,0,16,2,5,3,0,5,0,1,0,0,0,14,1,2,2,0,0,3,6,0,0,0,
40,2,59,"01/07/11 00:00:00",1,"Buffalo Glen",7,1,"Avalanche W11",37,0,0,11,2,0,3,5,1,0,0,0,0,0,15,2,5,1,0,2,0,5,0,0,0,
40,3,68,"01/12/11 00:00:00",1,"Buffalo Glen",7,0,"Vipers W11",43,0,0,22,4,2,1,4,4,4,3,0,0,0,12,1,5,4,0,1,0,1,0,0,0,
40,4,77,"01/19/11 00:00:00",1,"Buffalo Glen",7,1,"Flames W11",41,0,0,4,0,2,0,0,0,2,0,0,0,0,8,2,0,1,0,5,0,0,0,0,0,
40,5,87,"01/28/11 00:00:00",1,"Buffalo Glen",7,1,"Wings W11",44,0,0,14,5,2,2,1,1,3,0,0,0,0,7,1,1,0,0,0,2,3,0,0,0,
40,6,97,"02/04/11 00:00:00",1,"Buffalo Glen",7,1,"Mighty Ducks W11",36,0,0,17,3,3,3,5,0,3,0,0,0,0,12,1,0,3,1,5,0,2,0,0,0,
40,7,104,"02/09/11 00:00:00",1,"Buffalo Glen",9,0,"Avalanche W11",37,0,0,19,5,0,3,1,5,0,0,5,0,0,20,0,1,5,0,5,0,3,5,1,0,
40,8,115,"02/11/11 00:00:00",1,"Buffalo Glen",7,1,"Vipers W11",43,0,0,16,1,2,2,5,1,5,0,0,0,0,7,1,2,0,0,0,4,0,0,0,0,
40,9,122,"02/16/11 00:00:00",1,"Buffalo Glen",7,0,"Panthers W11",42,0,0,11,5,0,0,0,5,0,1,0,0,0,12,2,3,5,0,1,0,1,0,0,0,
40,10,132,"02/18/11 00:00:00",1,"Buffalo Glen",7,0,"Flames W11",41,0,0,13,4,0,2,0,0,0,7,0,0,0,16,0,5,2,3,1,5,0,0,0,0,
40,11,143,"02/23/11 00:00:00",1,"Buffalo Glen",8,1,"Hurricanes W11",38,0,0,13,5,0,1,0,1,1,0,5,0,0,12,1,1,1,1,4,0,0,4,0,0,
40,12,149,"02/25/11 00:00:00",1,"Buffalo Glen",7,1,"Bruins W11",39,0,0,15,5,5,0,3,0,2,0,0,0,0,12,1,0,2,2,1,3,3,0,0,0,
40,13,158,"03/02/11 00:00:00",1,"Buffalo Glen",8,0,"Wings W11",44,0,0,14,2,2,4,0,0,0,0,6,0,0,13,0,0,0,5,3,0,0,5,0,0,
